gene_symbol,Ssr2
mouse_life_stage,Early adult
pvalue,0.9651028
parameter_id,IMPC_GEL_063_001
mouse_strain,C57BL
parameter_name,Delayed embryonic development
analysis_id,9hjnv7i70ma6d6p
gene_accession_id,MGI:1913506
