gene_symbol,Nemp2
pvalue,0.5861783
gene_accession_id,MGI:2444113
parameter_id,IMPC_ECG_004_001
analysis_id,m4d6vt1212i9sq3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,RR
