analysis_id,403hre7e5l55ud5
mouse_life_stage,Late adult
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
pvalue,0.4683677
parameter_name,Neutrophil percentage
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
