analysis_id,2sko13i38siulme
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
pvalue,0.5758345
gene_symbol,Trp53rkb
parameter_id,IMPC_CSD_008_001
