parameter_name,Ulna
analysis_id,6w1dvns2szay3wd
mouse_strain,C57BL
gene_accession_id,MGI:1924054
pvalue,0.08720987
parameter_id,IMPC_XRY_023_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
