analysis_id,a39t34w1amzu364
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
mouse_strain,C57BL
gene_symbol,Eprs1
pvalue,0.2655732
