parameter_name,Corneal opacity
gene_accession_id,MGI:104805
parameter_id,IMPC_EYE_008_001
pvalue,0.9641151
mouse_life_stage,Early adult
gene_symbol,Snrpb2
mouse_strain,C57BL
analysis_id,9o25f6avb794478
