parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:109128
mouse_strain,C57BL
gene_symbol,Hnf4a
mouse_life_stage,Late adult
analysis_id,s27ct296fmb3t10
pvalue,0.1333391
parameter_name,Head morphology
