analysis_id,71h809g39l1qx6f
parameter_name,Lean mass
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:1923029
pvalue,0.7857769
mouse_life_stage,Early adult
