parameter_name,Total T cell percentage
gene_symbol,Cds2
mouse_strain,129SV
parameter_id,MGP_PBI_001_001
pvalue,0.265588
analysis_id,7o8estbtjnrk9kb
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
