parameter_name,Prepulse inhibition - PP4
gene_symbol,Rab22a
mouse_strain,C57BL
analysis_id,ko514i46u6n69x3
pvalue,0.8635082
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
