parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tatdn3
pvalue,0.8773254
parameter_name,Cue Baseline % Freezing Time
analysis_id,t25jg863f538ge4
gene_accession_id,MGI:1916222
