analysis_id,6205l64g0c732g6
pvalue,0.9614667
gene_symbol,Rab17
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:104640
parameter_name,Center distance travelled
