parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
parameter_name,Heart weight
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
pvalue,0.7307141
analysis_id,ts5xamtp23j5xo9
