parameter_name,B1B Cells
gene_symbol,Tnni1
analysis_id,3qy5o3v27s0uo2d
mouse_strain,C57BL
gene_accession_id,MGI:105073
parameter_id,IMPC_IMM_064_001
pvalue,0.9045518
mouse_life_stage,Early adult
