analysis_id,7hk8147e3v06j3w
gene_symbol,Mapkap1
pvalue,0.7746614
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_024_001
mouse_strain,C57BL
parameter_name,UIBC (unsaturated iron binding capacity)
