analysis_id,935t0w2l1oz2p05
parameter_name,UIBC (unsaturated iron binding capacity)
gene_accession_id,MGI:2446186
parameter_id,IMPC_CBC_024_001
pvalue,0.1345358
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Lpgat1
