parameter_name,Corneal vascularization
pvalue,0.6464103
parameter_id,IMPC_EYE_009_001
gene_symbol,Lpgat1
analysis_id,0k1vht5j2ypxg0u
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
