parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
analysis_id,d3gdxsw6gs3jyic
parameter_id,IMPC_ABR_002_001
gene_symbol,Snap23
pvalue,0.6387968
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
