parameter_name,MZB (CD21/35 high)
analysis_id,2azs742c7wa425j
pvalue,0.05841419
gene_symbol,Ddx27
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
gene_accession_id,MGI:2385884
