gene_symbol,Amigo1
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
analysis_id,5314j8j9c10r368
pvalue,0.2608553
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_name,Tibia length
