analysis_id,760q3446972gs6v
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
gene_symbol,Zyg11b
mouse_strain,C57BL
pvalue,0.4283225
parameter_name,Lumbar processes
