analysis_id,42x04322k1cpgw4
mouse_strain,C57BL
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:2443129
pvalue,0.4505439
gene_symbol,Golm2
mouse_life_stage,Early adult
