analysis_id,1q224377n13824g
mouse_life_stage,Early adult
pvalue,0.8577397
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:1341628
mouse_strain,C57BL
gene_symbol,Atrn
