parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
pvalue,0.3313537
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
gene_symbol,Kif24
analysis_id,8qe7u8k4d0f7r5s
