analysis_id,g977gp5lit06gp0
mouse_life_stage,E18.5
pvalue,0.2472661
gene_accession_id,MGI:2685277
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
gene_symbol,Zyg11b
