analysis_id,a6bfj9626gq5oxh
parameter_name,Bone Mineral Content
gene_symbol,Sdcbp2
mouse_strain,C57BL
pvalue,0.7625669
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_id,ESLIM_005_001_005
