parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
pvalue,0.5442714
gene_symbol,Ola1
mouse_strain,C57BL
gene_accession_id,MGI:1914309
analysis_id,0qgm3wu6ha65303
