analysis_id,1865qb1f30fja5j
gene_accession_id,MGI:2653612
parameter_id,MGP_MLN_031_001
gene_symbol,Amigo1
pvalue,0.3919874
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
