analysis_id,zj13cef97c8592m
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_id,IMPC_IMM_065_001
pvalue,0.9578098
parameter_name,B2B Cells
mouse_strain,C57BL
mouse_life_stage,Early adult
