analysis_id,p4076k239sw0x74
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,Naive CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_076_001
mouse_strain,129SV
pvalue,0.3697821
mouse_life_stage,Early adult
