gene_symbol,Lcn2
pvalue,0.8398473
gene_accession_id,MGI:96757
parameter_id,IMPC_ECG_008_001
parameter_name,ST
analysis_id,44u14e3a8euwpw6
mouse_strain,C57BL
mouse_life_stage,Early adult
