analysis_id,0hqy9vq1ps839q0
gene_accession_id,MGI:1919949
gene_symbol,Lime1
pvalue,0.4604239
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
