gene_symbol,Dcaf12
analysis_id,xt95p1wf9x1v1g9
parameter_name,Glucose
pvalue,0.2931915
parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
