parameter_id,JAX_LDT_002_001
analysis_id,iu5393cm1u30xdk
pvalue,0.1827424
mouse_strain,C57BL
gene_symbol,Arpc5l
parameter_name,Light side time spent
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
