parameter_id,IMPC_XRY_001_001
mouse_life_stage,E12.5
parameter_name,Skull shape
pvalue,0.8309722
gene_symbol,Tiprl
analysis_id,j02i362h2qc1952
gene_accession_id,MGI:1915087
mouse_strain,C57BL
