gene_symbol,Kcns1
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
pvalue,0.9539392
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
analysis_id,zj4hr7161pccn84
gene_accession_id,MGI:1197019
