parameter_name,Percent time in dark
gene_symbol,Nr0b2
analysis_id,5a23w8bk552y0n9
mouse_life_stage,Early adult
parameter_id,JAX_LDT_008_001
mouse_strain,B6J
gene_accession_id,MGI:1346344
pvalue,0.8878659
