analysis_id,t704t2s5wxj7520
mouse_strain,C57BL
parameter_name,LDL-cholesterol
pvalue,0.7329359
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_id,IMPC_CBC_025_001
mouse_life_stage,E12.5
