parameter_name,Heart looping
mouse_strain,C59BL
pvalue,0.6295703
gene_symbol,Zc2hc1a
analysis_id,9y1m602l57j92e8
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:1914556
