analysis_id,257a61im8ax3x17
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
mouse_strain,C57BL
gene_symbol,Cntfr
pvalue,0.465804
