gene_symbol,Lcn2
gene_accession_id,MGI:96757
mouse_strain,C57BL
pvalue,0.440524
parameter_id,IMPC_EYE_017_001
parameter_name,Lens Opacity
mouse_life_stage,Early adult
analysis_id,g0801tuqmlsj8z3
