parameter_name,Weight
mouse_life_stage,Early adult
pvalue,0.9169534
analysis_id,2799d0vf747y38o
gene_accession_id,MGI:1924054
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
gene_symbol,Kdm4c
