gene_symbol,Nr0b2
parameter_id,GMC_906_001_005
pvalue,0.4761373
mouse_life_stage,Early adult
parameter_name,Potassium
mouse_strain,B6J
gene_accession_id,MGI:1346344
analysis_id,0u32k0gp0g3ds47
