parameter_name,MZB (CD21/35 high)
pvalue,0.7011635
parameter_id,IMPC_IMM_071_001
gene_symbol,Dcaf12
analysis_id,w3q0a920073krq2
gene_accession_id,MGI:1916220
mouse_strain,C57BL
mouse_life_stage,Early adult
