analysis_id,a38f6y0z8g8kd15
pvalue,0.3325379
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
mouse_life_stage,Early adult
