analysis_id,0smwdrze74f3o7p
pvalue,0.9959153
parameter_id,MGP_PBI_010_001
gene_symbol,Eprs1
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:97838
