parameter_name,Caudal processes
pvalue,0.9483955
gene_symbol,SLC30A4
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
analysis_id,800uthwzoa11u6j
mouse_strain,C57BL
