gene_symbol,Wars2
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
parameter_name,Shape of ribcage
mouse_strain,C57BL
analysis_id,6632ok94fi81vmk
parameter_id,IMPC_XRY_059_001
pvalue,0.9132152
