gene_symbol,Nr0b2
parameter_name,Coat - color - abdomen
analysis_id,6fhihncub6fc8t9
mouse_strain,B6J
parameter_id,IMPC_CSD_007_001
pvalue,0.5205491
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
