gene_symbol,Rnf114
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
mouse_strain,C57BL
analysis_id,1c6a32pqbr494w4
parameter_id,ESLIM_011_001_010
parameter_name,PP4 + pulse startle magnitude
pvalue,0.3957779
