analysis_id,3q4m758h15x8174
mouse_strain,B6J
parameter_name,Total B cells - % of CD45+
pvalue,0.2745656
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_id,MGP_IMM_041_001
