Parameter_name,Whole arena average speed
Gene_symbol,Kdm4c
Analysis_id,sk834290z3vc13w
Parameter_id,ESLIM_007_001_005
Mouse_life_stage,Early adult
Gene_accession_id,MGI:1924054
mouse_strain,C57BL
Pvalue,0.5743474
