analysis_id,np1c1597pqv9i84
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
pvalue,0.4061595
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
