gene_symbol,Car13
mouse_life_stage,Early adult
parameter_name,Body position
parameter_id,ESLIM_008_001_001
pvalue,0.6530431
analysis_id,r4rf9796811n9g0
gene_accession_id,MGI:1931322
mouse_strain,C57BL
