gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,MGP_MLN_070_001
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of CD45+
gene_accession_id,MGI:1914071
pvalue,0.9980479
analysis_id,44h87d8704019js
