analysis_id,26691b801v043an
mouse_life_stage,Early adult
pvalue,0.368676
mouse_strain,B6J
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
