analysis_id,o6v185126u8098x
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
pvalue,0.9784994
