parameter_name,Body Weight
analysis_id,5ii6hv8jm6d1i79
gene_symbol,AU040320
mouse_strain,C51BL
pvalue,0.4088888
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
parameter_id,M-G-P_012_001_005
