analysis_id,0537jlws43jvqw0
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
gene_symbol,Mms22l
mouse_life_stage,Early adult
pvalue,0.9587249
gene_accession_id,MGI:2684980
parameter_name,Blood Vessel Morphology
