parameter_name,Limb grasping
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
analysis_id,i3rmec2w7lttie0
mouse_strain,C57BL
pvalue,0.5698935
parameter_id,ESLIM_008_001_017
gene_symbol,Ntmt2
