gene_symbol,Morn5
mouse_strain,C57BL
gene_accession_id,MGI:1922745
pvalue,0.6223206
mouse_life_stage,Early adult
parameter_name,Cleft palate
parameter_id,IMPC_GEP_076_001
analysis_id,4n1s7i1eia9e3yr
