analysis_id,2gb57510j97u8l8
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
gene_accession_id,MGI:891989
pvalue,0.5833576
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_name,Triglycerides
