analysis_id,29s6z0rpno7lsd8
pvalue,0.7623362
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_symbol,Arnt
